epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6791,3514.5,0.6697,9112.0
1,0.6172,1047.0,0.6575,5728.0
2,0.5737,147.5,0.6448,3507.5
3,0.5400,60.0,0.6454,3456.0
4,0.5133,17.0,0.6384,3864.0
5,0.4911,11.0,0.6474,3532.5
6,0.4723,4.5,0.6539,4266.5
7,0.4563,2.0,0.6645,4490.0
8,0.4430,1.0,0.6763,4563.0
9,0.4313,2.0,0.6619,3456.5
