epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.9473,29897.0,0.9594,38753.0
1,0.9249,28236.0,0.9388,39284.5
2,0.9036,27541.5,0.9191,38409.0
3,0.8837,30605.0,0.9009,36307.5
4,0.8655,27307.5,0.8844,36462.5
5,0.8496,28128.5,0.8697,36595.5
