epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.7056,12836.0,0.7103,15228.0
1,0.6607,4128.0,0.6778,9437.0
2,0.6225,1191.5,0.6662,7178.0
3,0.5870,497.5,0.6649,5654.5
4,0.5573,76.0,0.6685,5291.5
5,0.5333,24.0,0.6760,5199.0
6,0.5135,11.5,0.6826,5086.0
7,0.4970,3.0,0.6891,5342.0
8,0.4828,2.0,0.6932,5087.5
9,0.4703,2.0,0.6995,5907.0
10,0.4596,1.0,0.7019,6495.5
11,0.4499,1.0,0.7129,6219.0
12,0.4413,0.0,0.7102,6035.5
