epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6153,5283.0,0.5180,7833.0
1,0.4416,2355.5,0.3721,4069.0
2,0.3248,1343.0,0.2710,2785.5
3,0.2483,538.0,0.2114,1640.0
4,0.2006,473.0,0.1755,1293.0
5,0.1716,370.0,0.1559,962.0
6,0.1537,189.0,0.1435,756.0
7,0.1424,109.5,0.1393,675.5
8,0.1347,88.5,0.1329,638.0
9,0.1293,68.5,0.1300,688.5
10,0.1254,179.5,0.1281,748.5
11,0.1225,72.5,0.1267,741.5
12,0.1202,74.5,0.1259,701.5
13,0.1184,57.0,0.1243,840.0
14,0.1170,64.5,0.1242,852.0
