epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.4831,20738.0,0.1505,14042.0
1,0.1502,18231.0,0.1358,16822.5
2,0.1317,22961.5,0.1315,15157.5
3,0.1262,18841.5,0.1288,15869.5
4,0.1229,21970.5,0.1270,14573.0
5,0.1206,18323.0,0.1254,15234.0
6,0.1189,18780.5,0.1242,15186.0
